时间(s),压力(mmHg)
0.159,0.00
0.255,0.00
0.351,0.00
0.447,0.00
0.559,0.00
0.654,0.00
0.750,0.00
0.846,0.00
0.958,0.00
1.054,0.00
1.149,0.00
1.261,0.00
1.357,0.00
1.453,0.00
1.549,0.00
1.660,0.00
1.757,0.00
1.852,0.00
1.948,0.00
2.060,0.00
2.156,0.00
2.252,0.00
2.348,0.00
2.460,0.00
2.555,0.00
2.652,0.00
2.747,0.00
2.859,0.00
2.955,0.00
3.050,0.00
3.147,0.00
3.259,0.00
3.354,0.00
3.450,0.00
3.546,0.00
3.658,0.00
3.754,0.00
3.849,0.00
3.961,0.00
4.057,0.00
4.154,0.00
4.249,0.00
4.360,0.00
4.456,0.00
4.553,0.00
4.649,0.00
4.761,0.00
4.856,0.00
4.951,0.00
5.048,0.00
5.159,0.00
5.255,0.00
5.351,0.00
5.447,0.00
5.567,0.00
5.655,0.00
5.750,0.00
5.846,0.00
5.958,0.00
6.054,0.00
6.150,0.00
6.246,0.00
6.358,0.00
6.454,0.00
6.550,0.00
6.661,0.00
6.758,0.00
6.853,0.00
6.949,0.00
7.061,0.00
7.156,0.00
7.252,0.00
7.349,0.00
7.460,0.00
7.557,0.00
7.652,0.00
7.748,0.00
7.859,0.00
7.955,0.00
8.051,0.00
8.147,0.00
8.259,0.00
8.355,0.00
8.450,0.00
8.547,0.00
8.658,0.00
8.754,0.00
8.849,0.00
8.961,0.00
9.057,0.00
9.154,0.00
9.250,0.00
9.360,0.00
9.457,0.00
9.553,0.00
9.648,0.00
9.760,0.00
9.856,0.00
9.952,0.00
10.048,0.00
10.160,0.00
10.256,0.00
10.351,0.00
10.447,0.00
10.560,0.00
10.655,0.00
10.751,0.00
10.847,0.00
10.959,0.00
11.055,0.00
11.151,0.00
11.261,0.00
11.358,0.00
11.454,0.00
11.550,0.00
11.661,0.00
11.757,0.00
11.853,0.00
11.949,0.00
12.060,0.00
12.157,0.00
12.253,0.00
12.348,0.00
12.460,0.00
12.556,0.00
12.652,0.00
12.748,0.00
12.859,0.00
12.955,0.00
13.052,0.00
13.147,0.00
13.259,0.00
13.355,0.00
13.451,0.00
13.562,0.00
13.658,0.00
13.755,0.00
13.851,0.00
13.962,0.00
14.058,0.00
14.154,0.00
14.250,0.00
14.361,0.00
14.457,0.00
14.553,0.00
14.649,0.00
14.761,0.00
14.856,0.00
14.953,0.00
15.049,0.00
15.160,0.00
15.256,0.00
15.352,0.00
15.448,0.00
15.560,0.00
15.655,0.00
15.752,0.00
15.848,0.00
15.959,0.00
16.055,0.00
16.151,0.00
16.263,0.00
16.359,0.00
16.454,0.00
16.551,0.00
16.663,0.00
16.758,0.00
16.854,0.00
16.950,0.00
