时间(s),压力(mmHg)
0.018,0.09
0.225,0.06
0.419,0.07
0.618,0.05
0.824,0.09
1.020,0.07
1.218,0.10
1.424,0.04
1.620,0.03
1.818,0.03
2.024,0.06
2.220,0.08
2.418,0.06
2.625,0.04
2.821,0.06
3.018,0.07
3.226,0.08
3.420,1.83
3.619,3.13
3.825,3.90
4.020,5.07
4.218,6.70
4.425,9.63
4.619,13.29
4.817,17.56
5.024,23.35
5.219,29.56
5.418,36.56
5.624,44.72
5.819,52.88
6.018,61.72
6.225,71.46
6.419,80.50
6.618,89.42
6.824,98.87
7.020,107.39
7.218,115.80
7.424,124.61
7.619,132.72
7.818,140.58
8.025,148.94
8.219,156.63
8.418,164.06
8.625,172.09
8.819,179.28
9.019,186.48
9.224,194.11
9.419,201.03
9.619,207.84
9.823,215.07
10.019,221.76
10.218,228.24
10.425,235.10
10.619,241.43
10.819,247.64
11.025,254.26
11.220,260.18
11.418,266.04
11.625,272.31
11.820,278.03
12.018,283.56
12.225,289.46
12.420,294.76
12.617,300.12
12.825,305.72
13.020,310.78
13.217,315.90
13.424,321.09
13.619,325.81
13.818,330.54
14.024,335.53
14.219,340.09
14.418,344.57
14.624,348.30
14.820,349.18
15.019,349.55
15.224,349.58
15.419,349.71
15.618,349.57
15.825,349.71
16.019,349.64
16.217,349.80
16.424,349.81
16.619,349.72
16.818,349.75
17.024,349.73
17.219,350.05
17.418,349.69
17.624,350.04
17.819,349.86
18.018,349.72
18.224,349.68
18.419,349.98
18.617,349.74
18.824,350.01
19.019,349.93
19.217,349.74
19.424,349.75
19.620,349.76
19.817,349.81
20.024,349.71
20.220,349.73
20.418,349.71
20.624,349.75
20.818,349.78
21.018,349.88
21.224,349.81
21.419,349.90
21.618,349.86
21.824,349.77
22.018,349.74
22.218,349.77
22.424,349.81
22.618,349.77
22.818,349.86
23.024,349.77
23.218,349.76
23.418,349.78
23.624,349.77
23.820,349.83
24.017,349.82
24.224,349.76
24.420,349.80
24.617,349.79
24.824,349.79
25.018,349.84
25.217,349.82
25.424,349.79
25.619,349.95
25.817,349.92
26.023,346.66
26.219,328.35
26.417,302.28
26.624,269.67
26.819,235.46
27.018,198.37
27.223,157.42
27.419,123.34
27.618,94.31
27.824,68.78
28.019,50.27
28.217,36.22
28.424,25.29
28.619,18.27
28.817,13.46
29.023,10.05
29.218,7.87
29.417,6.34
29.623,5.02
29.819,4.17
30.017,3.57
30.223,2.99
30.419,2.60
30.618,2.21
30.824,1.92
31.018,1.69
31.217,1.48
31.424,1.32
31.619,1.13
31.817,1.05
32.024,0.87
32.219,0.80
32.416,0.75
32.624,0.67
32.819,0.64
33.016,0.61
33.224,0.54
33.418,0.52
33.617,0.47
33.824,0.49
34.019,0.43
34.217,0.40
34.423,0.40
34.620,0.35
34.817,0.32
35.024,0.32
35.218,0.32
35.417,0.32
35.623,0.31
35.818,0.26
36.017,0.26
36.223,0.27
36.418,0.23
36.617,0.23
36.824,0.22
37.018,0.21
37.216,0.21
37.424,0.20
37.618,0.19
37.817,0.20
38.024,0.18
38.218,0.16
38.417,0.20
38.623,0.17
38.818,0.19
39.017,0.16
39.222,0.19
39.418,0.18
39.617,0.16
39.824,0.19
40.019,0.17
40.217,0.15
40.426,0.17
40.618,0.15
40.818,0.14
41.024,0.15
41.219,0.16
41.417,0.14
41.624,0.12
41.818,0.14
42.016,0.13
42.224,0.12
42.418,0.16
42.616,0.13
42.823,0.12
43.019,0.11
43.216,0.12
43.423,0.11
43.618,0.13
43.817,0.14
44.023,0.16
44.218,0.12
44.416,0.14
44.623,0.12
44.818,0.12
45.017,0.10
45.224,0.11
45.418,0.10
45.617,0.13
45.824,0.10
46.018,0.09
46.218,0.09
46.423,0.09
46.617,0.08
46.818,0.08
47.022,0.13
47.218,0.09
47.416,0.09
47.624,0.07
47.817,0.08
48.016,0.08
48.224,0.07
48.419,0.06
48.616,0.11
48.824,0.07
49.018,0.08
49.217,0.06
49.422,0.05
49.618,0.06
49.816,0.05
50.023,0.05
50.218,0.05
50.418,0.06
50.623,0.06
50.818,0.07
51.017,0.06
51.222,0.07
51.418,0.04
51.616,0.08
51.823,0.08
52.018,0.05
52.216,0.04
52.423,0.07
52.617,0.05
52.816,0.10
53.023,0.05
53.218,0.06
53.416,0.06
53.622,0.07
53.818,0.06
54.016,0.03
54.222,0.05
54.418,0.04
54.617,0.04
54.823,0.06
55.017,0.05
55.216,0.06
55.423,0.03
55.617,0.04
55.815,0.06
56.023,0.06
56.218,0.07
56.415,0.04
56.622,0.06
56.818,0.05
57.016,0.08
57.223,0.05
57.418,0.04
57.617,0.05
57.822,0.05
58.019,0.05
58.216,0.07
