时间(s),压力(mmHg)
0.103,0.37
0.297,0.36
0.497,0.38
0.703,0.80
0.897,13.65
1.096,24.35
1.304,34.97
1.497,45.29
1.696,54.51
1.903,66.70
2.097,73.13
2.298,82.29
2.502,92.93
2.697,100.35
2.896,108.60
3.103,113.89
3.298,123.41
3.496,128.30
3.703,134.97
3.898,143.35
4.097,150.41
4.303,156.46
4.498,162.93
4.696,167.16
4.906,176.28
5.098,181.29
5.296,187.42
5.502,191.25
5.698,199.24
5.895,204.37
6.103,210.05
6.297,213.64
6.496,219.40
6.701,224.38
6.898,230.60
7.096,233.62
7.302,238.30
7.496,243.15
7.696,249.13
7.903,253.21
8.097,255.37
8.296,262.13
8.502,266.66
8.697,268.95
8.896,272.92
9.103,277.94
9.298,280.88
9.496,283.06
9.702,288.37
9.897,291.12
10.096,293.91
10.302,299.12
10.497,302.57
10.696,304.94
10.902,307.72
11.098,310.85
11.296,314.02
11.502,318.11
11.698,320.86
11.896,322.24
12.102,326.68
12.298,329.47
12.495,332.12
12.702,335.35
12.897,336.88
13.097,338.92
13.302,342.46
13.497,344.53
13.696,346.75
13.902,349.48
14.096,351.77
14.296,354.01
14.502,356.07
14.697,358.75
14.895,359.62
15.102,362.05
15.297,365.03
15.496,365.90
15.703,368.14
15.897,371.13
16.095,372.43
16.301,372.72
16.498,372.18
16.696,371.65
16.903,371.23
17.097,370.87
17.296,370.60
17.502,370.32
17.697,370.08
17.895,334.98
18.102,248.47
18.297,185.56
18.495,137.38
18.702,96.23
18.942,60.66
19.137,39.61
19.336,24.63
19.541,14.03
19.737,8.07
19.935,4.64
20.142,2.81
20.337,1.91
20.536,1.52
20.742,1.24
20.937,1.09
21.136,0.94
21.342,0.85
21.537,0.81
21.736,0.75
21.943,0.68
22.137,0.57
22.335,0.48
22.542,0.42
22.737,0.34
22.935,0.27
23.142,0.23
23.337,0.19
23.535,0.14
23.744,0.14
23.937,0.07
24.135,0.07
24.342,0.02
24.536,0.04
24.735,0.06
24.941,0.22
25.137,0.31
25.336,0.41
25.542,0.51
25.738,0.60
25.935,0.66
26.141,0.70
26.336,0.77
26.535,0.80
26.742,0.83
26.937,0.87
27.136,0.95
27.342,0.97
27.537,1.00
27.735,1.02
27.943,1.04
28.137,1.09
28.335,1.11
28.541,1.15
28.737,1.14
28.935,1.14
29.141,1.15
29.336,1.18
29.536,1.17
29.741,1.20
29.937,1.22
30.135,1.24
30.342,1.21
30.537,1.22
30.736,1.25
30.941,1.25
31.137,1.21
31.335,1.25
31.542,1.25
31.736,1.28
31.936,1.28
32.142,1.31
32.337,1.31
