时间(s),压力(mmHg)
0.029,0.03
0.224,0.05
0.421,0.04
0.628,0.05
0.824,0.02
1.022,0.04
1.228,0.03
1.424,0.03
1.623,0.04
1.829,-0.03
2.023,0.05
2.222,0.01
2.428,0.05
2.623,0.02
2.821,0.03
3.027,-0.02
3.224,0.03
3.422,0.04
3.629,0.03
3.823,0.04
4.022,0.02
4.228,0.02
4.423,0.00
4.622,0.03
4.828,0.04
5.022,0.02
5.221,0.01
5.428,0.04
5.622,0.03
5.822,0.00
6.029,1.46
6.224,2.70
6.421,3.42
6.628,4.25
6.823,5.70
7.021,7.72
7.227,10.93
7.469,15.54
7.663,20.15
7.861,25.57
8.068,32.31
8.263,39.01
8.461,46.20
8.668,54.62
8.863,63.15
9.061,71.69
9.268,80.78
9.463,89.31
9.661,97.68
9.868,106.36
10.107,116.13
10.304,123.88
10.502,131.39
10.707,139.28
10.904,146.44
11.102,153.51
11.307,161.00
11.502,167.65
11.701,174.19
11.907,181.08
12.106,187.46
12.301,193.73
12.509,200.39
12.703,206.53
12.900,212.47
13.108,218.89
13.303,224.69
13.502,230.36
13.708,236.51
13.904,242.14
14.101,247.66
14.308,253.47
14.503,258.87
14.702,264.13
14.908,268.93
15.103,269.38
15.302,269.50
15.509,269.62
15.703,269.61
15.901,269.64
16.108,269.61
16.302,269.67
16.502,269.69
16.708,269.71
16.902,269.76
17.102,269.75
17.307,269.71
17.502,269.78
17.701,269.74
17.907,269.72
18.102,269.77
18.300,269.82
18.507,269.79
18.703,269.80
18.901,269.80
19.108,269.79
19.303,269.81
19.501,269.74
19.707,269.76
19.903,269.82
20.101,269.79
20.307,269.77
20.502,269.81
20.701,269.81
20.908,269.84
21.102,269.83
21.302,269.83
21.507,269.80
21.703,269.85
21.901,269.78
22.107,269.83
22.302,269.86
22.500,269.78
22.707,269.82
22.905,269.80
23.100,269.82
23.309,269.87
23.503,269.78
23.701,269.85
23.908,269.77
24.102,269.82
24.302,269.84
24.507,269.88
24.703,269.82
24.901,269.79
25.107,269.84
25.302,269.79
25.501,269.87
25.707,269.85
25.902,269.85
26.101,269.82
26.306,246.26
26.502,212.14
26.701,173.78
26.907,132.83
27.102,99.98
27.301,73.70
27.509,52.24
27.701,37.41
27.901,26.57
28.108,18.52
28.302,13.42
28.500,10.08
28.708,7.76
28.902,6.26
29.101,5.04
29.307,4.07
29.503,3.36
29.700,2.81
29.908,2.33
30.103,2.07
30.301,1.80
30.507,1.50
30.702,1.33
30.902,1.16
31.107,1.02
31.303,0.90
31.501,0.84
31.707,0.77
31.902,0.73
32.102,0.61
32.307,0.59
32.502,0.56
32.700,0.52
32.907,0.46
33.102,0.46
33.301,0.44
33.507,0.34
33.702,0.34
33.901,0.34
34.107,0.34
34.302,0.33
34.501,0.26
34.707,0.28
34.902,0.31
35.100,0.26
35.308,0.24
35.502,0.23
35.700,0.22
35.907,0.22
36.102,0.24
36.300,0.24
36.507,0.18
36.702,0.17
36.900,0.19
37.108,0.18
37.304,0.14
37.501,0.14
37.707,0.18
37.902,0.16
38.100,0.16
38.306,0.18
38.501,0.15
38.701,0.16
38.907,0.15
39.101,0.17
39.301,0.15
39.507,0.15
39.702,0.17
39.900,0.13
40.106,0.10
40.302,0.15
40.500,0.13
40.708,0.14
40.901,0.13
41.100,0.14
41.307,0.14
41.501,0.12
41.700,0.11
41.906,0.14
42.102,0.12
42.300,0.14
42.507,0.14
42.702,0.11
42.900,0.10
43.106,0.13
43.302,0.10
43.500,0.09
43.706,0.09
43.902,0.09
44.100,0.10
44.306,0.08
44.502,0.08
44.700,0.09
44.907,0.10
45.101,0.11
45.302,0.11
45.506,0.06
45.701,0.09
45.901,0.09
46.107,0.11
46.301,0.06
46.502,0.08
46.706,0.05
46.902,0.09
47.101,0.06
47.306,0.04
47.502,0.07
47.699,0.07
